task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__id_tweet,taskinfo__text
0,2016-08-11T03:51:25.967984,15402,"{""id_tweet"": ""453703577467236353"", ""text"": ""@andrigraf hay remate en zofri? #iquique""}",3,0.0,62,0,completed,453703577467236353,@andrigraf hay remate en zofri? #iquique
0,2016-08-11T03:51:25.985113,15403,"{""id_tweet"": ""453999876645613568"", ""text"": ""#iquique @radiopaulina en cespedes cn aperez canto hay unos talleres mecanicos q entorpecen una de las vias y de hace un taco horrible !""}",3,0.0,62,0,completed,453999876645613568,#iquique @radiopaulina en cespedes cn aperez canto hay unos talleres mecanicos q entorpecen una de las vias y de hace un taco horrible !
0,2016-08-11T03:51:25.996952,15404,"{""id_tweet"": ""454683995674931200"", ""text"": ""Se acab\u00f3 la espera: hoy comienza el Festival de la Ciencia Puerto de Ideas en #Antofagasta http://t.co/pPdA9VH1cU""}",3,0.0,62,0,completed,454683995674931200,Se acabó la espera: hoy comienza el Festival de la Ciencia Puerto de Ideas en #Antofagasta http://t.co/pPdA9VH1cU
0,2016-08-11T03:51:26.010219,15405,"{""id_tweet"": ""455082427174494208"", ""text"": ""zofri esta pobre poniendo carteles de carton escritos con tipex en el ingreso de personal una verguenza  #iquique http://t.co/n6PvAghuNY""}",3,0.0,62,0,completed,455082427174494208,zofri esta pobre poniendo carteles de carton escritos con tipex en el ingreso de personal una verguenza  #iquique http://t.co/n6PvAghuNY
0,2016-08-11T03:51:26.023915,15406,"{""id_tweet"": ""451436824800792576"", ""text"": ""RT @CNNChile Heroico rescate de un perro en Iquique tras el #TerremotoenChile http://t.co/ENFF6inrNz  http://t.co/vRttgF4y9J / :)""}",3,0.0,62,0,completed,451436824800792576,RT @CNNChile Heroico rescate de un perro en Iquique tras el #TerremotoenChile http://t.co/ENFF6inrNz  http://t.co/vRttgF4y9J / :)
0,2016-08-11T03:51:26.033958,15407,"{""id_tweet"": ""451234570277752832"", ""text"": ""EE.UU. alerta de tsunami en Chile y Peru\u0301 y registra ma\u0301s de 15 re\u0301plicas de sismo https://t.co/MCVuLxoaWp""}",3,0.0,62,0,completed,451234570277752832,EE.UU. alerta de tsunami en Chile y Perú y registra más de 15 réplicas de sismo https://t.co/MCVuLxoaWp
0,2016-08-11T03:51:26.043900,15408,"{""id_tweet"": ""452292962970398722"", ""text"": ""RT @Alertas100: Perrito perdido durante terremoto en Arica http://t.co/CTUhrNZKfA""}",3,0.0,62,0,completed,452292962970398722,RT @Alertas100: Perrito perdido durante terremoto en Arica http://t.co/CTUhrNZKfA
0,2016-08-11T03:51:26.053261,15409,"{""id_tweet"": ""451500606096556032"", ""text"": ""#TerremotoenChile: Artistas de todo el mundo se solidarizan con las v\u00edctimas http://t.co/iSJKgg3f9C http://t.co/rtfV8sAnz9""}",3,0.0,62,0,completed,451500606096556032,#TerremotoenChile: Artistas de todo el mundo se solidarizan con las víctimas http://t.co/iSJKgg3f9C http://t.co/rtfV8sAnz9
0,2016-08-11T03:51:26.064516,15410,"{""id_tweet"": ""451561217190932480"", ""text"": ""RT @CRC_Oficial: NOTICIAS: EMBALSE DE CONCHI SE ENCUENTRA EN PERFECTO ESTADO SIN NOVEDAD.#TerremotoEnChile""}",3,0.0,62,0,completed,451561217190932480,RT @CRC_Oficial: NOTICIAS: EMBALSE DE CONCHI SE ENCUENTRA EN PERFECTO ESTADO SIN NOVEDAD.#TerremotoEnChile
0,2016-08-11T03:51:26.076180,15411,"{""id_tweet"": ""451348579115081728"", ""text"": ""RT @elcomercio: RT @sociedad_ECpe: #TerremotoEnChile dej\u00f3 9 heridos y da\u00f1os leves en Per\u00fa, inform\u00f3 @indeciperu http://t.co/ew9yI2aHp5""}",3,0.0,62,0,completed,451348579115081728,"RT @elcomercio: RT @sociedad_ECpe: #TerremotoEnChile dejó 9 heridos y daños leves en Perú, informó @indeciperu http://t.co/ew9yI2aHp5"
0,2016-08-11T03:51:26.088191,15412,"{""id_tweet"": ""453312240528424960"", ""text"": ""RT @beejournalist: RT @ingrataaa: no se olviden que tambi\u00e9n hay damnificados en #arica no solo en #iquique  #canal13 #Bienvenidos13  @Sqpof\u2026""}",3,0.0,62,0,completed,453312240528424960,RT @beejournalist: RT @ingrataaa: no se olviden que también hay damnificados en #arica no solo en #iquique  #canal13 #Bienvenidos13  @Sqpof…
0,2016-08-11T03:51:26.100510,15413,"{""id_tweet"": ""451557534089113600"", ""text"": ""RT @Cooperativa: Sismolog\u00eda de EE.UU. (USGS) aument\u00f3 a 7,8 grados Richter la r\u00e9plica registrada a 23 kil\u00f3metros al sur de #Iquique http://t\u2026""}",3,0.0,62,0,completed,451557534089113600,"RT @Cooperativa: Sismología de EE.UU. (USGS) aumentó a 7,8 grados Richter la réplica registrada a 23 kilómetros al sur de #Iquique http://t…"
0,2016-08-11T03:51:26.112575,15414,"{""id_tweet"": ""451342225847631872"", ""text"": ""RT @reddeemergencia: RT @GrupoWurtlitzer: [09:52] Despeje hecho por direcci\u00f3n de Vialidad #Iquique #Tarapac\u00e1 (FOTO @CuevasOlguin) http://t.\u2026""}",3,0.0,62,0,completed,451342225847631872,RT @reddeemergencia: RT @GrupoWurtlitzer: [09:52] Despeje hecho por dirección de Vialidad #Iquique #Tarapacá (FOTO @CuevasOlguin) http://t.…
0,2016-08-11T03:51:26.133210,15415,"{""id_tweet"": ""451385633341448192"", ""text"": ""#FuerzaChile lo unico que quiero es que no le anden m\u00e1s las compus,o no se,no tengan m\u00e1s internet,asi no juegan m\u00e1s al lol.""}",3,0.0,62,0,completed,451385633341448192,"#FuerzaChile lo unico que quiero es que no le anden más las compus,o no se,no tengan más internet,asi no juegan más al lol."
0,2016-08-11T03:51:26.144252,15416,"{""id_tweet"": ""451698464724774913"", ""text"": ""RT @stark: 25.000 mensajes enviados POR SEGUNDO en Chile v\u00eda WhatsApp el 1 de Abril tras el terremoto, de acuerdo a Jan Koum, su CEO (@chip\u2026""}",3,0.0,62,0,completed,451698464724774913,"RT @stark: 25.000 mensajes enviados POR SEGUNDO en Chile vía WhatsApp el 1 de Abril tras el terremoto, de acuerdo a Jan Koum, su CEO (@chip…"
0,2016-08-11T03:51:26.155416,15417,"{""id_tweet"": ""451555705062178816"", ""text"": ""RT @TVN: \u00daltimo minuto: Tras sismo 7.4 declaran alarma de tsunami en Arica e Iquique. Aqu\u00ed se\u00f1al en vivo: http://t.co/Rd3upCLeEa""}",3,0.0,62,0,completed,451555705062178816,RT @TVN: Último minuto: Tras sismo 7.4 declaran alarma de tsunami en Arica e Iquique. Aquí señal en vivo: http://t.co/Rd3upCLeEa
0,2016-08-11T03:51:26.165910,15418,"{""id_tweet"": ""451449506928668672"", ""text"": ""RT @CNNEE: Terremoto en #Chile: 6 muertos, 2.500 viviendas con da\u00f1os y 972.000 evacuados. http://t.co/TNvkjwf6un""}",3,0.0,62,0,completed,451449506928668672,"RT @CNNEE: Terremoto en #Chile: 6 muertos, 2.500 viviendas con daños y 972.000 evacuados. http://t.co/TNvkjwf6un"
0,2016-08-11T03:51:26.176228,15419,"{""id_tweet"": ""451578049847242752"", ""text"": ""RT @rescatessinfron: AHORA #Iquique, mina cerro colorado, habr\u00edan mineros atrapados (30 mineros, a confirmar) en el lugar, se despacharon u\u2026""}",3,0.0,62,0,completed,451578049847242752,"RT @rescatessinfron: AHORA #Iquique, mina cerro colorado, habrían mineros atrapados (30 mineros, a confirmar) en el lugar, se despacharon u…"
0,2016-08-11T03:51:26.186421,15420,"{""id_tweet"": ""452822852040151040"", ""text"": ""En este momento repartiendo cajas de alimentos del Gobierno Regional #tarapaca a los campamentos de las canchas del Cerro Drag\u00f3n #iquique""}",3,0.0,62,0,completed,452822852040151040,En este momento repartiendo cajas de alimentos del Gobierno Regional #tarapaca a los campamentos de las canchas del Cerro Dragón #iquique
0,2016-08-11T03:51:26.197216,15421,"{""id_tweet"": ""451374460353126400"", ""text"": ""RT @RPPNoticias: 300 reclusas fugaron de c\u00e1rcel de Iquique tras fuerte #TerremotoEnChile. http://t.co/uqyeOGp33q http://t.co/67WmQX8iZy""}",3,0.0,62,0,completed,451374460353126400,RT @RPPNoticias: 300 reclusas fugaron de cárcel de Iquique tras fuerte #TerremotoEnChile. http://t.co/uqyeOGp33q http://t.co/67WmQX8iZy
0,2016-08-11T03:51:26.208474,15422,"{""id_tweet"": ""452280764038516737"", ""text"": ""@NewEarthquake puede  haber  un  terremoto  en  stgo  de chile""}",3,0.0,62,0,completed,452280764038516737,@NewEarthquake puede  haber  un  terremoto  en  stgo  de chile
0,2016-08-11T03:51:26.219183,15423,"{""id_tweet"": ""451566099918643203"", ""text"": ""RT @SantiContreras: URGENTE: Se ha generado un tsunami. Favor evacuar a zonas altas #TerremotoEnChile http://t.co/yHqc42jUSu""}",3,0.0,62,0,completed,451566099918643203,RT @SantiContreras: URGENTE: Se ha generado un tsunami. Favor evacuar a zonas altas #TerremotoEnChile http://t.co/yHqc42jUSu
0,2016-08-11T03:51:26.230719,15424,"{""id_tweet"": ""453798640293666816"", ""text"": ""RT @sismos_dot_cl: 92 km al SO de Punitaqui http://t.co/f0qvIT60U0 #Terremoto #Temblor  #sismos #chile #sismo""}",3,0.0,62,0,completed,453798640293666816,RT @sismos_dot_cl: 92 km al SO de Punitaqui http://t.co/f0qvIT60U0 #Terremoto #Temblor  #sismos #chile #sismo
0,2016-08-11T03:51:26.241665,15425,"{""id_tweet"": ""454240614255976448"", ""text"": ""RT @ViveEccu: Buenos d\u00edas para tod@s en #Antofagasta! Atent@s amig@s de #Viveeccu pronto enviamos las instrucciones para el webinar que de \u2026""}",3,0.0,62,0,completed,454240614255976448,RT @ViveEccu: Buenos días para tod@s en #Antofagasta! Atent@s amig@s de #Viveeccu pronto enviamos las instrucciones para el webinar que de …
0,2016-08-11T03:51:26.252582,15426,"{""id_tweet"": ""451433172522532865"", ""text"": ""RT @TeAmoValpo: Ayuda a difundir apoyo a pescadores artesanales de Iquique! #FuerzaChile #TerremotoenChile Favor RT http://t.co/qkSXYONEGh""}",3,0.0,62,0,completed,451433172522532865,RT @TeAmoValpo: Ayuda a difundir apoyo a pescadores artesanales de Iquique! #FuerzaChile #TerremotoenChile Favor RT http://t.co/qkSXYONEGh
0,2016-08-11T03:51:26.263481,15427,"{""id_tweet"": ""451345338515718146"", ""text"": ""RT @tvnnoticias: Video: Arturo Alvarado del Sinaproc descarta que haya alerta de tsunami para #Panama tras sismo en Chile http://t.co/j7LQh\u2026""}",3,0.0,62,0,completed,451345338515718146,RT @tvnnoticias: Video: Arturo Alvarado del Sinaproc descarta que haya alerta de tsunami para #Panama tras sismo en Chile http://t.co/j7LQh…
0,2016-08-11T03:51:26.276233,15428,"{""id_tweet"": ""451857789380730881"", ""text"": ""RT @KENNOKESII: @CortezBogs: #iquique centro y sur sin agua , pan $ 2000 kilo , agua $ 5.000 y colectivos locales $6.000 gbno. a puertas ce\u2026""}",3,0.0,62,0,completed,451857789380730881,"RT @KENNOKESII: @CortezBogs: #iquique centro y sur sin agua , pan $ 2000 kilo , agua $ 5.000 y colectivos locales $6.000 gbno. a puertas ce…"
0,2016-08-11T03:51:26.287971,15429,"{""id_tweet"": ""451705433074720768"", ""text"": ""@DiegoPoma como sue\u00f1as ... Todo porque lo hiciste de mi lap...""}",3,0.0,62,0,completed,451705433074720768,@DiegoPoma como sueñas ... Todo porque lo hiciste de mi lap...
0,2016-08-11T03:51:26.298421,15430,"{""id_tweet"": ""452090368142872576"", ""text"": ""RT @perrosfelices_: \""@bartorell: \""@perrosfelices_: ROSI Se perdi\u00f3 ayer #iquique calle libertad,avisar a Pablo +56984779320 http://t.co/I9xa\u2026""}",3,0.0,62,0,completed,452090368142872576,"RT @perrosfelices_: ""@bartorell: ""@perrosfelices_: ROSI Se perdió ayer #iquique calle libertad,avisar a Pablo +56984779320 http://t.co/I9xa…"
