7	Buenos días gente. Una vez mas parado en la bajada a #Iquique putos terremotos
7	Chile evalúa daños tras potente terremoto: La presidenta Michelle Bachelet viajó este miércoles al norte de Ch... http://t.co/dFBfUwTNrS
7	#Tocopilla fue la primera ciudad en ir en ayuda a las víctimas del terremoto http://t.co/sOJ8iszpBu #Antofagasta #Calama #Iquique #Arica
7	RT @HombredeRadio: URGENTE!!.. Comunicado de @aguasaltiplano #Iquique y Alto Hospicio @biobio http://t.co/aaL4uW8zBN
4	Eric Goles realiza su conferencia en un recinto lleno en el Museo Regional de #Antofagasta http://t.co/ZLTPKRwUFa
7	RT @HombredeRadio: 04:00 ALTO HOSPICIO: Roban automóvil Honda Fit de color negro, Patente JHWF-17. Sector La Noria. (#Iquique) @PDI_CHILE @…
5	RT @DiarioExtraEc: #Chile: Réplicas por terremoto de 8,2 se producen cada 6 minutos. http://t.co/oj0szCGfze http://t.co/swRAcYd9LD
2	RT @24HorasTVN: ¿Supiste? Line ofrece llamadas gratuitas a Chile tras el terremoto. Te contamos: http://t.co/USN50d58kO http://t.co/Gmf4q0M…
6	Temblor en #Antofagasta alarmas de sunami activadas #FuerzaNorteDeChile #FuerzaChile
1	RT @marcelo_vildoso: #Iquique La tensa calma que nos prepara para esta noche. Cientos de familias ya acampan en zonas de seguridad.
6	RT @AndrsGuillermo: SIGO BUSCANDO A MI PERRITO PERDIDO EN ARICA POR EL TERREMOTO cel: 877624999 FAVOR RT!!! http://t.co/sga5GrJaqJ
2	RT @thecliniccl: Las 5 cosas típicas de un terremoto en Chile, según la Gringa Loca - http://t.co/xDvtw0x1Ch http://t.co/xqMCktE9On
7	¿Como les puede causar gracia lo que paso en chile con lo del tsunami ? Hay gente que murió y se rien de eso me parece muy desubicado chabon
6	Levantan alerta de tsunami tras fuerte réplica de terremoto en norte de Chile: El gobierno chileno levantó la ... http://t.co/ivTUPRFpbR
6	Ecuador y Perú establecen alerta de tsunami tras fuerte terremoto en Chile http://t.co/LgbIrJTj5S #Internacionales
1	RT @untalcharlie: #Avance Terremoto en #Chile de 7.8 a 23kms al sur de Iquique.Presidenta Bachelet estaba en Arica y fue evacuada.Hay alert…
1	#iquique no tiene nada de malo que la gente se valla total estamos sobrepoblados y si ademas eso les da tranquilidad exelente por ellos.
3	RT @Barbiprrra: #FuerzaChile ? AH SII? ellos tambien pidieron por nosotros un dia como hoy? CHILENOS PUTOOOOOS que los vengan a ayudar los …
