insfraestructura	RT @chilectra: #CorteDeEnergía en Providencia
advertencias	RT @ChilenoDecision: RT MASIVO. Santiago no es Chile #lluviasantiago Río MAIPO a la altura de San Antonio en la región de Valparaiso https:…
insfraestructura	@ufinisterrae tio finis
advertencias	RT @Carabdechile: Precaución conductores. Evite transitar por Autopista Costanera Norte en sector de Providencia y Andrés Bello por desbord…
advertencias	RT @SEREMI_EDUC_V: En vivo @ucvradio Lunes clases normales. Se suspenden clases para las comunas de Algarrobo
advertencias	RT @ChilenoDecision: #lluviasantiago Santiago no es Chile!!!!!! Favor difundir!!!!! ahora en la sexta región https://t.co/xY835t5zl2
no_aplica	@JavierHair @benjapuente que aweonao jaja y como los atiendo si no hay agua ql
insfraestructura	RT @vitosx: Impactantes fotos de costanera center inundado #lluviasantiago https://t.co/a6ATABOLlT
otra_informacion	RT @marielardilla: Hola. Fue durante el gobierno de Piñera. Saludos https://t.co/qKohj2G0n7 https://t.co/xhnaWsNrzd
insfraestructura	elepicentro: Esval anuncia corte de agua en El Tabo
otra_informacion	♫ Ministro de OOPP e intendente RM: desborde del Mapocho no debió haber ocurrido  https://t.co/ku4QztxYvq pi... https://t.co/H1YjdBNkin ♫
donaciones	RT @onemichile: Revisa los puntos de abastecimiento alternativos por corte de agua: https://t.co/Lvk4rzYlQx https://t.co/nDmVQucEIZ https:/…
donaciones	RT @onemichile: Revisa los puntos de abastecimiento alternativos por corte de agua: https://t.co/Lvk4rzYlQx https://t.co/nDmVQucEIZ https:/…
donaciones	RT @onemichile: Revisa los puntos de abastecimiento alternativos por corte de agua: https://t.co/Lvk4rzYlQx  https://t.co/nDmVQucEIZ https:…
otra_informacion	🔴📱 Minuto a Minuto y Señal EN VIVO de emergencia que se vive en la RM por temporal » https://t.co/Q5WWrOy6Yu  https://t.co/HLoPmCJp1U
otra_informacion	RT @T13: ⚠️ #AlertaT13 | Minuto a Minuto de emergencia por temporal en #Tele13 » https://t.co/6fsr2wCKpO https://t.co/RF5pndvqVi
insfraestructura	[Video] Así ingresó el agua a los estacionamientos del Costanera Center https://t.co/V3VsvxEeYh via elepicentro … https://t.co/Ix7ro3Ns07)
no_aplica	Que lluvia??? #ristretto 💪🏼☕️ https://t.co/n8tWwRdQzL #prefisic #preparacionfisica #motocross #mx #run… https://t.co/cmZRRJa78D
donaciones	RT @onemichile: Revisa los puntos de abastecimiento alternativos por corte de agua: https://t.co/Lvk4rzYlQx https://t.co/nDmVQucEIZ https:/…
no_aplica	Las Casitas del Barrio Alto - Victor Jara https://t.co/B70sLt0Jse vía @YouTube https://t.co/OG2QHnv3jj
